,,,,,x,y,z,dt
"-20.51, 25.39, 918.95, 02200.00","25.39, 918.95, 02200.00","918.95, 02200.00",,,-20.51,25.39,918.95,2200
"16.11, 25.88, 977.05, 02182.00","25.88, 977.05, 02182.00","977.05, 02182.00",,,16.11,25.88,977.05,2182
"-5.37, 42.48, 997.07, 02196.00","42.48, 997.07, 02196.00","997.07, 02196.00",,,-5.37,42.48,997.07,2196
"-983.89, -177.25, 915.53, 02222.00","-177.25, 915.53, 02222.00","915.53, 02222.00",,,-983.89,-177.25,915.53,2222
"116.21, -60.06, 866.70, 02191.00","-60.06, 866.70, 02191.00","866.70, 02191.00",,,116.21,-60.06,866.7,2191
"-441.41, 412.11, 760.74, 02202.00","412.11, 760.74, 02202.00","760.74, 02202.00",,,-441.41,412.11,760.74,2202
"25.88, -3.91, 960.45, 02195.00","-3.91, 960.45, 02195.00","960.45, 02195.00",,,25.88,-3.91,960.45,2195
"-5.86, 29.30, 1010.74, 02197.00","29.30, 1010.74, 02197.00","1010.74, 02197.00",,,-5.86,29.3,1010.74,2197
"-1.46, 20.51, 975.10, 02196.00","20.51, 975.10, 02196.00","975.10, 02196.00",,,-1.46,20.51,975.1,2196
"18.55, 26.37, 979.00, 02181.00","26.37, 979.00, 02181.00","979.00, 02181.00",,,18.55,26.37,979,2181
"10.25, 33.69, 982.91, 02185.00","33.69, 982.91, 02185.00","982.91, 02185.00",,,10.25,33.69,982.91,2185
"-70.31, 108.89, 886.23, 02200.00","108.89, 886.23, 02200.00","886.23, 02200.00",,,-70.31,108.89,886.23,2200
"19.04, 38.09, 951.17, 02180.00","38.09, 951.17, 02180.00","951.17, 02180.00",,,19.04,38.09,951.17,2180
"8.79, 28.32, 1032.71, 02189.00","28.32, 1032.71, 02189.00","1032.71, 02189.00",,,8.79,28.32,1032.71,2189
"28.32, -11.23, 801.76, 02196.00","-11.23, 801.76, 02196.00","801.76, 02196.00",,,28.32,-11.23,801.76,2196
"26.86, 32.71, 977.54, 02185.00","32.71, 977.54, 02185.00","977.54, 02185.00",,,26.86,32.71,977.54,2185
"6.35, 26.37, 974.12, 02188.00","26.37, 974.12, 02188.00","974.12, 02188.00",,,6.35,26.37,974.12,2188
"13.67, 15.14, 984.86, 02186.00","15.14, 984.86, 02186.00","984.86, 02186.00",,,13.67,15.14,984.86,2186
"19.53, 26.37, 987.79, 02186.00","26.37, 987.79, 02186.00","987.79, 02186.00",,,19.53,26.37,987.79,2186
"1.95, 14.65, 983.40, 02185.00","14.65, 983.40, 02185.00","983.40, 02185.00",,,1.95,14.65,983.4,2185
"16.60, 23.44, 992.68, 02183.00","23.44, 992.68, 02183.00","992.68, 02183.00",,,16.6,23.44,992.68,2183
"-0.49, 31.25, 997.07, 02192.00","31.25, 997.07, 02192.00","997.07, 02192.00",,,-0.49,31.25,997.07,2192
"-4.39, 17.58, 993.65, 02199.00","17.58, 993.65, 02199.00","993.65, 02199.00",,,-4.39,17.58,993.65,2199
"15.14, 14.16, 978.52, 02185.00","14.16, 978.52, 02185.00","978.52, 02185.00",,,15.14,14.16,978.52,2185
"0.98, 15.14, 995.12, 02186.00","15.14, 995.12, 02186.00","995.12, 02186.00",,,0.98,15.14,995.12,2186
"19.53, 22.46, 1002.93, 02186.00","22.46, 1002.93, 02186.00","1002.93, 02186.00",,,19.53,22.46,1002.93,2186
"-6.35, 16.11, 1001.95, 02199.00","16.11, 1001.95, 02199.00","1001.95, 02199.00",,,-6.35,16.11,1001.95,2199
"5.37, 11.72, 997.07, 02185.00","11.72, 997.07, 02185.00","997.07, 02185.00",,,5.37,11.72,997.07,2185
"3.42, 13.18, 1002.93, 02189.00","13.18, 1002.93, 02189.00","1002.93, 02189.00",,,3.42,13.18,1002.93,2189
"9.28, 45.90, 992.19, 02185.00","45.90, 992.19, 02185.00","992.19, 02185.00",,,9.28,45.9,992.19,2185
"-9.77, 20.51, 987.79, 02198.00","20.51, 987.79, 02198.00","987.79, 02198.00",,,-9.77,20.51,987.79,2198
"22.46, 21.00, 979.98, 02180.00","21.00, 979.98, 02180.00","979.98, 02180.00",,,22.46,21,979.98,2180
"16.11, 32.71, 1007.81, 02185.00","32.71, 1007.81, 02185.00","1007.81, 02185.00",,,16.11,32.71,1007.81,2185
"2.93, 21.00, 1015.14, 02184.00","21.00, 1015.14, 02184.00","1015.14, 02184.00",,,2.93,21,1015.14,2184
"5.37, 33.69, 1002.93, 02190.00","33.69, 1002.93, 02190.00","1002.93, 02190.00",,,5.37,33.69,1002.93,2190
"-5.86, 16.11, 999.51, 02198.00","16.11, 999.51, 02198.00","999.51, 02198.00",,,-5.86,16.11,999.51,2198
"9.28, 34.18, 1004.88, 02189.00","34.18, 1004.88, 02189.00","1004.88, 02189.00",,,9.28,34.18,1004.88,2189
"11.23, 21.97, 1002.44, 02186.00","21.97, 1002.44, 02186.00","1002.44, 02186.00",,,11.23,21.97,1002.44,2186
"1.46, 21.97, 1004.39, 02189.00","21.97, 1004.39, 02189.00","1004.39, 02189.00",,,1.46,21.97,1004.39,2189
"-7.81, 23.93, 1001.95, 02200.00","23.93, 1001.95, 02200.00","1001.95, 02200.00",,,-7.81,23.93,1001.95,2200
"-8.30, 21.48, 993.16, 02194.00","21.48, 993.16, 02194.00","993.16, 02194.00",,,-8.3,21.48,993.16,2194
"12.21, 32.23, 1001.95, 02187.00","32.23, 1001.95, 02187.00","1001.95, 02187.00",,,12.21,32.23,1001.95,2187
"7.81, 15.63, 1010.74, 02188.00","15.63, 1010.74, 02188.00","1010.74, 02188.00",,,7.81,15.63,1010.74,2188
"8.30, 24.90, 1012.70, 02181.00","24.90, 1012.70, 02181.00","1012.70, 02181.00",,,8.3,24.9,1012.7,2181
"3.91, 35.16, 991.21, 02187.00","35.16, 991.21, 02187.00","991.21, 02187.00",,,3.91,35.16,991.21,2187
"12.21, 29.30, 1002.44, 02183.00","29.30, 1002.44, 02183.00","1002.44, 02183.00",,,12.21,29.3,1002.44,2183
"1.46, 21.97, 997.56, 02188.00","21.97, 997.56, 02188.00","997.56, 02188.00",,,1.46,21.97,997.56,2188
"-3.42, 22.95, 1006.35, 02199.00","22.95, 1006.35, 02199.00","1006.35, 02199.00",,,-3.42,22.95,1006.35,2199
"-8.79, 23.93, 996.58, 02199.00","23.93, 996.58, 02199.00","996.58, 02199.00",,,-8.79,23.93,996.58,2199
"1.46, 31.74, 990.23, 02188.00","31.74, 990.23, 02188.00","990.23, 02188.00",,,1.46,31.74,990.23,2188
"-8.30, 29.79, 996.58, 02196.00","29.79, 996.58, 02196.00","996.58, 02196.00",,,-8.3,29.79,996.58,2196
"24.41, 16.60, 1039.55, 02183.00","16.60, 1039.55, 02183.00","1039.55, 02183.00",,,24.41,16.6,1039.55,2183
"-11.23, 29.79, 1028.32, 02200.00","29.79, 1028.32, 02200.00","1028.32, 02200.00",,,-11.23,29.79,1028.32,2200
"11.72, 20.51, 1007.81, 02186.00","20.51, 1007.81, 02186.00","1007.81, 02186.00",,,11.72,20.51,1007.81,2186
"0.49, 15.63, 1008.79, 02187.00","15.63, 1008.79, 02187.00","1008.79, 02187.00",,,0.49,15.63,1008.79,2187
"8.79, 13.18, 995.61, 02188.00","13.18, 995.61, 02188.00","995.61, 02188.00",,,8.79,13.18,995.61,2188
"-0.98, 15.63, 1017.09, 02195.00","15.63, 1017.09, 02195.00","1017.09, 02195.00",,,-0.98,15.63,1017.09,2195
"10.74, 13.18, 1006.35, 02186.00","13.18, 1006.35, 02186.00","1006.35, 02186.00",,,10.74,13.18,1006.35,2186
"21.48, 17.09, 1006.84, 02183.00","17.09, 1006.84, 02183.00","1006.84, 02183.00",,,21.48,17.09,1006.84,2183
"-5.86, 38.57, 963.38, 02199.00","38.57, 963.38, 02199.00","963.38, 02199.00",,,-5.86,38.57,963.38,2199
"7.81, 16.60, 1028.81, 02186.00","16.60, 1028.81, 02186.00","1028.81, 02186.00",,,7.81,16.6,1028.81,2186
"11.72, 26.86, 1001.46, 02186.00","26.86, 1001.46, 02186.00","1001.46, 02186.00",,,11.72,26.86,1001.46,2186
"-8.30, 28.81, 1000.49, 02197.00","28.81, 1000.49, 02197.00","1000.49, 02197.00",,,-8.3,28.81,1000.49,2197
"-2.93, 13.18, 1006.84, 02199.00","13.18, 1006.84, 02199.00","1006.84, 02199.00",,,-2.93,13.18,1006.84,2199
"-1.46, 38.57, 1001.46, 02200.00","38.57, 1001.46, 02200.00","1001.46, 02200.00",,,-1.46,38.57,1001.46,2200
"0.00, 5.37, 1007.32, 02167.00","5.37, 1007.32, 02167.00","1007.32, 02167.00",,,0,5.37,1007.32,2167
"9.28, 36.13, 1009.77, 02189.00","36.13, 1009.77, 02189.00","1009.77, 02189.00",,,9.28,36.13,1009.77,2189
"11.23, 26.37, 997.56, 02185.00","26.37, 997.56, 02185.00","997.56, 02185.00",,,11.23,26.37,997.56,2185
"-0.98, 29.30, 1009.77, 02195.00","29.30, 1009.77, 02195.00","1009.77, 02195.00",,,-0.98,29.3,1009.77,2195
"-0.49, 37.11, 1010.74, 02197.00","37.11, 1010.74, 02197.00","1010.74, 02197.00",,,-0.49,37.11,1010.74,2197
"9.77, 14.16, 995.61, 02188.00","14.16, 995.61, 02188.00","995.61, 02188.00",,,9.77,14.16,995.61,2188
"6.35, 31.74, 1013.67, 02189.00","31.74, 1013.67, 02189.00","1013.67, 02189.00",,,6.35,31.74,1013.67,2189
